10000 1000000
1 7720 39
1 2438 239
1 1798 856
1 2286 366
1 613 451
1 8101 854
1 282 143
1 5922 538
1 6286 946
1 4681 998
1 1892 977
1 5907 656
1 1324 458
1 2241 882
1 2279 726
1 591 447
1 8588 841
1 1238 908
1 2618 612
1 868 457
1 6879 534
1 7888 224
1 585 598
1 1112 213
1 7067 579
1 9405 630
1 3506 280
1 1650 389
1 7177 330
1 9265 332
1 4137 115
1 1103 929
1 8405 653
1 7857 338
1 4773 599
1 3214 98
1 6704 684
1 5943 261
1 7376 748
1 8005 872
1 3153 674
1 3505 820
1 4187 240
1 8938 805
1 336 24
1 1394 534
1 1575 21
1 3962 984
1 7066 625
1 2831 570
1 2237 168
1 3637 250
1 5728 620
1 4324 701
1 2775 923
1 2063 812
1 5192 566
1 8748 120
1 9621 51
1 5969 335
1 3578 525
1 5532 47
1 9273 459
1 2135 531
1 436 582
1 9161 668
1 9643 815
1 2528 977
1 1095 824
1 9245 769
1 4022 825
1 9297 808
1 4264 727
1 1063 641
1 5081 48
1 5329 748
1 1184 114
1 2744 760
1 1495 892
1 9134 362
1 8652 573
1 8471 255
1 3975 20
1 823 822
1 1453 911
1 2157 249
1 3476 912
1 720 437
1 1256 389
1 8841 448
1 6494 855
1 1842 756
1 6168 205
1 6557 817
1 5928 2
1 4552 215
1 2280 84
1 4847 675
1 1800 15
1 5538 666
1 6953 561
1 361 876
1 5851 87
1 1734 523
1 258 456
1 9098 469
1 2142 776
1 9178 941
1 282 744
1 9123 617
1 2613 148
1 8524 392
1 1696 133
1 9307 66
1 5880 176
1 4234 28
1 948 54
1 9163 483
1 3745 702
1 2746 457
1 6860 592
1 1314 815
1 2655 795
1 6019 66
1 6784 578
1 595 889
1 8406 209
1 4498 677
1 478 335
1 7026 121
1 253 631
1 2246 373
1 1062 967
1 2490 158
1 2111 860
1 1941 576
1 927 365
1 1898 694
1 2090 416
1 2661 993
1 4897 82
1 6980 312
1 6355 979
1 3699 959
1 3704 137
1 5644 259
1 2384 724
1 6527 804
1 9191 10
1 9503 476
1 8252 579
1 1885 855
1 2755 103
1 6953 36
1 5783 55
1 1638 299
1 8116 2
1 9518 127
1 6324 233
1 8966 533
1 727 589
1 4194 454
1 2089 479
1 6268 530
1 4895 728
1 753 573
1 7362 858
1 4620 911
1 6911 807
1 1208 94
1 2494 113
1 4336 127
1 5906 913
1 841 365
1 6064 427
1 2611 337
1 1331 802
1 1403 938
1 7072 136
1 9509 702
1 7541 193
1 3720 610
1 2519 681
1 3802 999
1 2237 235
1 4622 78
1 8871 204
1 5450 102
1 2003 223
1 1582 315
1 5680 537
1 8562 712
1 2340 488
1 5696 200
1 1852 688
1 2066 114
1 2467 150
1 5580 235
1 6388 944
1 8093 552
1295 3542 517
5610 6395 315
6407 4686 951
2694 8753 342
